Country,Series Name,1970s,1980s,1990s,2000s,2010s,2020s,Outcome
Bulgaria,Energy Consumer Price Inflation,7.5699999999999985,7.5699999999999985,201.516,8.98,2.2589999999999995,13.336666666666668,0
Bahrain,Energy Consumer Price Inflation,0.0,0.01,-1.25,-2.0879999999999996,1.1949999999999998,-1.6433333333333333,0
"Bahamas, The",Energy Consumer Price Inflation,0.445,0.445,0.445,0.445,0.5385000000000001,1.6933333333333334,0
Bosnia and Herzegovina,Energy Consumer Price Inflation,2.4349999999999996,2.4349999999999996,2.4349999999999996,5.041500000000001,1.7200000000000002,4.693333333333333,0
Belarus,Energy Consumer Price Inflation,31.005000000000003,31.005000000000003,669.1210000000001,95.6305,18.11,10.476666666666667,0
Belize,Energy Consumer Price Inflation,1.15,1.15,0.05,2.359,1.3239999999999998,1.7366666666666666,0
Bolivia,Energy Consumer Price Inflation,7.739999999999999,2346.64,13.080000000000002,4.9350000000000005,3.979,0.24,1
Brazil,Energy Consumer Price Inflation,23.9,7.45,7.022,6.656999999999999,6.786,6.633333333333333,0
Barbados,Energy Consumer Price Inflation,2.14,1.7240000000000002,1.3340000000000003,2.722,2.967,1.956666666666667,0
Brunei Darussalam,Energy Consumer Price Inflation,-0.325,-0.325,-0.325,-0.325,-0.7604999999999998,0.45999999999999996,0
Bhutan,Energy Consumer Price Inflation,5.93,7.628,7.26,7.924000000000001,5.374,4.71,0
Botswana,Energy Consumer Price Inflation,10.98,7.863999999999999,5.343999999999999,8.450999999999999,6.818,6.61,0
Central African Republic,Energy Consumer Price Inflation,6.709999999999999,7.229999999999999,1.2099999999999997,2.0300000000000002,0.9269999999999998,1.97,0
Canada,Energy Consumer Price Inflation,10.442000000000002,7.7700000000000005,3.4699999999999998,4.26,2.353,14.843333333333334,0
Switzerland,Energy Consumer Price Inflation,8.989999999999998,2.569,3.243,1.957,0.807,10.456666666666665,0
